Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity ,Valuation Offered (In Lakhs INR),Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
30,98,Scholify,Scholarship Platform,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
31,99,Scrapshala,Handmade Reusable Scrap Materials,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
31,100,Sabjikothi,Vegetables Storage,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
31,101,AyuRythm,Ayurvedic Wellness App,75,0,0.03,2798.51,Out,Out,Out,In,Out,Out,Out
31,102,Astrix,Smart Locks,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
32,103,Thea and Sid,Proposal Solutions,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
32,104,Experential Etc,Technology layered Advertisement Services,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
32,105,GrowFitter,Rewards App,50,0,0.02,2500.00,Out,Out,Out,In,Out,Out,Out
32,106,Med Tech,Portable opthalmic devices,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
33,107,Colour Me Mad,Insoles,40,0,0.25,160.00,Out,Out,In,Out,Out,Out,Out
33,108,Mavi's,Vegan Fermented Food,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
33,109,Tweek Labs,Sportswear,60,0,0.10,600.00,In,In,Out,Out,In,Out,Out
33,110,Proxgy,VR,10,0,0.10,100.00,Out,In,Out,Out,In,Out,Out
34,111,Nomad Food Project,Bacon Jams,40,0,0.20,200.00,Out,In,In,Out,Out,In,In
34,112,Twee in One,Reversible and convertible clothing,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
34,113,Green Protein,Plant-Based Protein,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
34,114,On2Cook,Fastest Cooking Device,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
35,115,Jain Shikanji,Lemonade,40,0,0.30,133.33,In,In,Out,In,Out,In,Out
35,116,Woloo,Washroom Finder,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
35,117,Elcare India,Carenting for Elders,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
